Eid,Identity
3.2_examples_14, [([A+B-C]-O)*([A+B+C-2*O]-O)]+[(C-O)^2-([A+B-O]-O)^2]
3.2_examples_15,[(G-[A/2+C/2])^2-([B/2+C/2]-[A/2+C/2])^2]+2*[(G-[B/2+C/2])*([([B/2+C/2]+A)/2]-[B/2+G/2])]
3.2_exercises_1,2*[([P/2+A/2]-[([C+A-B]+C)/2])*(B-P)]+[(C-P)^2-(B-C)^2]
3.2_exercises_2,[([2*A-B]-[(A+B+C)/3])^2-(A-C)^2]+32/9*[(A-[B/2+C/2])*(B-[A/2+C/2])]
3.2_exercises_3,[([A/2+C/2]-[(A+2*B)/3])*([A/2+C/2]-[(2*A+B)/3])]+1/36*[(A-B)^2-9*(C-B)^2]
3.2_exercises_4,[9*([(2*B+C)/3]-A)^2-([2*B-C]-A)^2]-8*[(B-A)*(C-A)]
3.2_exercises_5,[([(2*B+C)/3]-A)^2-4/9*(B-[C/2+A/2])^2]-8/9*[(B-A)*(C-A)]
3.2_exercises_6,[4*([A/2+D/2]-[B/2+C/2])^2-([A-D+B]-C)^2]+4*[(A-C)*(B-D)]
3.2_exercises_7,[([A+(D-C)/2]-[B/2+D/2])*(B-C)]+1/2*[(A-B)^2-(A-C)^2]
3.2_exercises_8,4*[([A/2+D/2]-[B/2+C/2])*([B/2+D/2]-[A/2+C/2])]+[(A-B)^2-(C-D)^2]
3.3_example_1,[(A-P)^2+(C-Q)^2-(P-B)^2-([A+C-B]-Q)^2]+2*[(B-A)*(B-C)]-2*[(B-A)*(P-Q)]
3.3_example_2,[(C-D)*(P-D)]+[(A-D)*(B-D)]+[(P-B)*(A-C)]+[-(A-D)*(P-D)-(B-D)*(C-D)]
3.3_example_4,[(C-D)*(H-D)]+[(A-D)*(B-D)]-[(A-D)*(H-D)+(B-D)*(C-D)]-[(B-H)*(A-C)]
3.3_example_6,[(E-A)*(F-A)-(B-A)*(C-A)]+[(D-A)^2-(E-A)^2]+2*[(D-A)*([B/2+C/2]-D)]+[(D-B)*(D-C)]+[(E-A)*(E-F)]
3.3_example_7,2*[(A-[([A+B+C-2*O]+O)/2])*(L-M)]-[(L-O)*(A-C)]+[(B-O)*(L-B)+(M-O)*(A-B)+(C-O)*(C-M)]+[(B-O)^2-(C-O)^2]
3.3_example_8,2*[(I-[(A+[A+B+C-2*O])/2])*(I-[(B+C)/2])]-[(I-A)*(I-[A+B+C-2*O])]-[(I-B)*(I-C)]-1/2*[-2*(A-O)^2+(B-O)^2+(C-O)^2]
3.3_example_9,2*[(B-E)*(A-[F/2+E/2])]-2*[(A-E)*([B/2+C/2]-E)]+[(C-E)*(F-E)]+[(F-A)*(B-C)]
3.3_example_10,[([B/2+C/2]-P)^2+([B/2+C/2]-Q)^2-(P-B)^2-(C-Q)^2]+2*[(P-[B/2+C/2])*(Q-[B/2+C/2])]-2*[(P-B)*(Q-C)]
3.3_example_11,[(D-B)^2-(D-A)^2-(D-C)^2]+[(A-C)^2-(C-B)^2]+[([A+C-D]-B)^2-(A-B)^2]
3.3_example_13,[(D-A)*(D-C)+(A-P)*(B-C)]-2*[([A/2+C/2]-O)*(P-D)]+2*[([A/2+B/2]-O)*(P-A)]+[(A-O)^2-(D-O)^2]
3.3_example_14,[(A-B)^2+(B-C)^2+(C-D)^2+(D-A)^2-2*(A-C)^2]-4*[([B/2+D/2]-A)*([B/2+D/2]-C)-([B/2+D/2]-B)*([B/2+D/2]-D)]
3.3_example_16,2*[(A-K)*([A+B+C-2*O]-[B/2+C/2])]+[(A-K)*(K-[A+B+C-2*O])]-[(A-O)^2-(K-O)^2]
3.3_example_17,[(B-A)*(D-E)]+[(D-[E/2+C/2])*(C-B)]-[([B/2+C/2]-A)*(C-E)]+[(C-A)*(C-D)]
3.3_example_18,[(B-A)^2-(C-A)^2]+3/2*[(B-C)*([(4*A-[2*C-B])/3]-B)]
3.3_example_20,[(B-D)*(A-G)]+[(C-B)*(C-G)]+[(C-A)*(C-D)]+[(A-C)*(C-B)-(C-D)*(C-G)]
3.3_example_23,[(N-P)*(A-B)]+[(L-P)*(B-C)]+[(M-P)*(C-A)]-[(M-N)*(L-A)]-[(N-L)*(M-B)]-[(L-M)*(N-C)]
3.3_example_26,[(A-B)^2-4*(A-D)*(B-C)]-2*[(A-D)*(A-B)]-2*[(B-A)*(B-C)]+4*[([A/2+B/2]-C)*([A/2+B/2]-D)]
3.3_exercise_1,[(A-B)^2-(B-C)*(A-D)]+[(A-C)*(B-D)]-[(B-C)*(B-A)]-[(B-A)*(D-A)]
3.3_exercise_2,[(B-C)^2-2*(B-A)*(B-D)]+[(B-A)^2-(C-A)^2]-2*[(B-A)*(D-C)]
3.3_exercise_3,[(D-E)*(B-C)]-[(E-A)*(C-A)+(B-A)*(D-A)]+[(C-A)*(D-A)+(B-A)*(E-A)]
3.3_exercise_4,[(A-E)*(P-Q)]-[(B-E)*(C-Q)]+[(C-E)*(B-P)]+[(Q-E)*(A-B)]-[(P-E)*(A-C)]
3.3_exercise_5,([2*[(A+B+C)/3]-O]-A)^2+([2*[(A+B+C)/3]-O]-B)^2+([2*[(A+B+C)/3]-O]-C)^2+[-(A-O)^2-(B-O)^2-(C-O)^2]
3.3_exercise_9,[4*([A/2+O/2]-[C/2+B/2])^2-[(B-O)^2+(C-O)^2-(A-O)^2]]-2*[(A-B)*(A-C)]
3.3_exercise_11,[(A-B)^2-(A-F)*(A-E)]+2*[(B-F)*(A-[B/2+C/2])]+[(B-F)*(C-F)-(A-F)*(E-F)]
3.3_exercise_12,[(B-E)^2-(F-C)^2]-[(E-D)^2-(A-C)^2]+[(F-D)^2-(A-B)^2]-2*[(A-D)*(B-D)]+2*[(A-D)*(C-D)]+2*[(B-D)*(E-D)]-2*[(F-D)*(C-D)]
3.3_exercise_13,[(B-D)^2-(A-D)*(B-C)]+[(A-B)*(B-C)]-[(D-B)*(D-C)]
3.3_exercise_14,[([A/2+D/2]-C)*([A/2+D/2]-B)]-1/4*[([A-B+D]-C)^2-(B-C)^2]
3.3_exercise_15,[(A-C)^2+(B-D)^2-(A-B+D-C)^2]-2*[(A-C)*(B-D)]
3.3_exercise_16,[(C-D)^2-(C-B)^2]-2*[(D-A)*(D-B)]+2*[([[A/2+D/2]+C-[A/2+B/2]]-A)*(D-B)]
3.3_exercise_17,[(A-C)^2+(B-D)^2-4*([A/2+B/2]-[C/2+D/2])^2]+2*[(A-C)*(B-D)]
3.3_exercise_18,[(A-D)^2-(A-C)^2-(B-D)^2]-2*[([B/2+C/2]-D)*(A-B)]+[(A-C)*(B-C)]
3.3_exercise_19,[(F-[([A+C-B]+C)/2])*(E-[([A+C-B]+A)/2])]-[([A/2+B/2]-E)*([B/2+C/2]-F)]+2*[(B-[A/2+C/2])*([A/2+C/2]-[E/2+F/2])]
3.3_exercise_20,[([A/2+H/2]-C)*([A/2+H/2]-N)]+[(A-N)*(C-H)]-1/2*[(C-A/2-N+A-H/2)*(A-H)]
3.3_exercise_21,2*[(A-[B/2+D/2])*(C-[A/2+D/2])]+[(A-B)*(A-C)]+[(A-D)*([B/2+D/2]-C)]
3.3_exercise_22,[(F-C)*(F-[B+D-C])]+[(C-B)*(C-D)]-[(F-D)*(F-B)]
3.3_exercise_23,[([A/2+K/2]-B)*([A/2+K/2]-[([A+C-B]+C])/2)]+1/2*[(B-A)*(B-C)]-1/2*[(K-B)*(K-C)]-1/4*[(K-B)*(A-K)]
3.3_exercise_24,4*[([C/2+H/2]-[A+C-B])*([C/2+H/2]-(A+B)/2)]+2*[(B-A)*(B-C)]-2*[(A-H)*([A+C-B]-H)]+[(C-H)*([A+C-B]-H)]
3.3_exercise_25,[([C/2+E/2]-B)*([C/2+E/2]-A)]+1/2*[(B-E)*(C-[(2*A+B)/3])]+1/4*[(B-E)*(E-([2*A+B)/3])]+1/4*[(A-B)^2-(A-C)^2]
3.3_exercise_26,[(B-P)*(A-C)]-[(D-P)*(B-C)]-[(G-P)*(A-B])+[(B-A)*(B-G)-(B-D)*(B-C)]
3.3_exercise_27,[(C-O)*(C-D)]-[(D-O)*(A-C)]-[(B-O)*(B-A)]+[(B-O)^2-(C-O)^2+(A-O)*(D-B)]
3.3_exercise_28,[([A/2+B/2]-(2*A+[A+C-B])/3)*([(11*C-5*B)/6]-[(2*A+[A+C-B])/3])]+5/12*[(B-A)*(B-C)]-1/2*[(B-A)^2-(B-C)^2]
3.3_exercise_29,[([B/2+C/2]-E)*([B/2+C/2]-F)]-[([B/2+C/2]-A)*([B/2+C/2]-[E+F-A])]-[(E-A)*(F-A)]
3.3_exercise_30,[(E-G)*(F-G)]-[(E-A)*(F-A)]+[(G-A)*([E+F-G]-A)]
3.3_exercise_32,4*[([(A+B+C+D)/4]-A)*([(A+B+C+D)/4]-D)]+(A-D)^2-[([A/2+D/2]-[B/2+C/2])^2]
3.3_exercise_35,[(D-[B/2+C/2])*(D-[B/2+A/2])]-1/4*[(B-C)*(B-A)]-[(D-B)*(D-[A/2+C/2])]
3.3_exercise_36,[(C-G)*(B-D)]-1/2*[(C-A)*(B-D)]+[(G-[A/2+D/2])*(B-C)]-[(G-(A+B)/2)*(D-C)]
3.3_exercise_37,[(A-B)^2+(C-D)^2+(E-F)^2-(B-C)^2-(D-E)^2-(F-A)^2]+2*([(A-G)*(B-F)]+[(C-G)*(D-B)]+[(E-G)*(F-D)])
3.3_exercise_38,[(B-A)*(B-P)-2*(B-[A/2+C/2])^2]+2*[(B-O)*(B-C)]+2*[([B/2+P/2]-O)*(B-A)]+2*[([A/2+C/2]-O)^2-(B-O)^2]
3.3_exercise_39,2*(A-[B/2+C/2])*([A-D+[B/2+C/2]]-[A/2+N/2])+[(D-B)*(D-C)-(D-A)^2]+[(A-[B/2+C/2])*(N-[B/2+C/2])-(B-(B+C)/2)*(C-[B/2+C/2])]
3.3_exercise_40,[(A-B)^2+(A-C)^2-2*(C-B)^2]+12*[([(A+B+C)/3]-O)*(A-[B/2+C/2])]+3*[(B-O)^2+(C-O)^2-2*(A-O)^2]
3.3_exercise_41,3/2*[(A-[(C+2*K)/3])*([A-B+C]-K)]+[(A-B)^2-(C-[([A+C-B]+K)/2])^2]+3/4*[(A-C)^2-([2*A-B]-K)^2]
